ID	Node1	Node2	Length	Diameter	Roughness	MinorLoss	Status
LINK-32	JUNCTION-11313	JUNCTION-11786	408.700000	20.000000	140	0.000000	Open	
LINK-33	JUNCTION-11786	JUNCTION-11784	196.300000	42.000000	140	0.000000	Open	
LINK-34	JUNCTION-11787	JUNCTION-11379	379.400000	6.000000	140	0.000000	Open	
LINK-35	JUNCTION-11787	JUNCTION-11775	257.600000	6.000000	140	0.000000	Open	
LINK-36	JUNCTION-8404	JUNCTION-1705	278.100000	6.000000	140	0.000000	Open	
LINK-37	JUNCTION-11788	JUNCTION-11321	1606.100000	42.000000	140	0.000000	Open	
LINK-38	JUNCTION-11789	JUNCTION-11783	1262.900000	42.000000	140	0.000000	Open	
LINK-39	JUNCTION-11788	JUNCTION-11789	752.800000	42.000000	140	0.000000	Open	
LINK-40	JUNCTION-11780	JUNCTION-11777	797.800000	6.000000	140	0.000000	Open	
LINK-41	JUNCTION-11368	JUNCTION-11780	845.100000	6.000000	140	0.000000	Open	
LINK-42	JUNCTION-11368	JUNCTION-11791	190.300000	4.000000	140	0.000000	Open	
LINK-43	JUNCTION-11792	JUNCTION-6670	934.700000	6.000000	140	0.000000	Open	
LINK-44	JUNCTION-11793	JUNCTION-6717	174.600000	6.000000	140	0.000000	Open	
LINK-45	JUNCTION-6719	JUNCTION-11793	172.300000	6.000000	140	0.000000	Open	
LINK-46	JUNCTION-11794	JUNCTION-11793	422.200000	6.000000	140	0.000000	Open	
LINK-47	JUNCTION-8427	JUNCTION-1552	319.000000	6.000000	140	0.000000	Open	
LINK-48	JUNCTION-11792	JUNCTION-11794	520.900000	6.000000	140	0.000000	Open	
LINK-49	JUNCTION-11795	JUNCTION-11792	606.000000	6.000000	140	0.000000	Open	
LINK-50	JUNCTION-6681	JUNCTION-11795	136.600000	8.000000	140	0.000000	Open	
LINK-51	JUNCTION-11795	JUNCTION-6653	447.700000	8.000000	140	0.000000	Open	
LINK-52	JUNCTION-11796	JUNCTION-10553	523.800000	6.000000	140	0.000000	Open	
LINK-53	JUNCTION-7101	JUNCTION-11796	664.400000	6.000000	140	0.000000	Open	
LINK-54	JUNCTION-11797	JUNCTION-6655	275.400000	6.000000	140	0.000000	Open	
LINK-55	JUNCTION-10966	JUNCTION-11797	235.400000	8.000000	140	0.000000	Open	
LINK-56	JUNCTION-10966	JUNCTION-10975	332.300000	12.000000	140	0.000000	Open	
LINK-57	JUNCTION-11798	JUNCTION-11797	32.700000	8.000000	140	0.000000	Open	
LINK-58	JUNCTION-1704	JUNCTION-1693	586.700000	6.000000	140	0.000000	Open	
LINK-59	JUNCTION-11799	JUNCTION-11800	221.800000	6.000000	140	0.000000	Open	
LINK-60	JUNCTION-11798	JUNCTION-11799	313.700000	6.000000	140	0.000000	Open	
LINK-61	JUNCTION-11802	JUNCTION-6667	305.000000	8.000000	140	0.000000	Open	
LINK-62	JUNCTION-11802	JUNCTION-6995	275.700000	8.000000	140	0.000000	Open	
LINK-63	JUNCTION-11803	JUNCTION-11804	131.900000	4.000000	140	0.000000	Open	
LINK-64	JUNCTION-11804	JUNCTION-11803	180.200000	4.000000	140	0.000000	Open	
LINK-65	JUNCTION-11805	JUNCTION-11800	326.300000	6.000000	140	0.000000	Open	
LINK-66	JUNCTION-6995	JUNCTION-11805	411.300000	6.000000	140	0.000000	Open	
LINK-67	JUNCTION-6667	JUNCTION-11798	475.900000	8.000000	140	0.000000	Open	
LINK-68	JUNCTION-11802	JUNCTION-11804	227.300000	4.000000	140	0.000000	Open	
LINK-69	JUNCTION-1693	JUNCTION-1633	418.400000	8.000000	140	0.000000	Open	
LINK-70	JUNCTION-5711	JUNCTION-10979	393.200000	8.000000	140	0.000000	Open	
LINK-71	JUNCTION-5712	JUNCTION-5716	479.500000	8.000000	140	0.000000	Open	
LINK-72	JUNCTION-10977	JUNCTION-11806	219.000000	4.000000	140	0.000000	Open	
LINK-73	JUNCTION-10978	JUNCTION-11807	407.600000	8.000000	140	0.000000	Open	
LINK-74	JUNCTION-11808	JUNCTION-5686	486.300000	8.000000	140	0.000000	Open	
LINK-75	JUNCTION-11809	JUNCTION-5655	231.300000	4.000000	140	0.000000	Open	
LINK-76	JUNCTION-11810	JUNCTION-11807	649.700000	8.000000	140	0.000000	Open	
LINK-77	JUNCTION-11811	JUNCTION-11813	613.900000	6.000000	140	0.000000	Open	
LINK-78	JUNCTION-11813	JUNCTION-7106	392.700000	8.000000	140	0.000000	Open	
LINK-79	JUNCTION-5716	JUNCTION-11808	357.900000	8.000000	140	0.000000	Open	
LINK-80	JUNCTION-1644	JUNCTION-1698	661.300000	6.000000	140	0.000000	Open	
LINK-81	JUNCTION-11807	JUNCTION-11808	376.800000	6.000000	140	0.000000	Open	
LINK-82	JUNCTION-10946	JUNCTION-10953	298.800000	6.000000	140	0.000000	Open	
LINK-83	JUNCTION-11814	JUNCTION-11815	167.400000	4.000000	140	0.000000	Open	
LINK-84	JUNCTION-11816	JUNCTION-11817	174.000000	4.000000	140	0.000000	Open	
LINK-85	JUNCTION-6977	JUNCTION-11818	372.800000	6.000000	140	0.000000	Open	
LINK-86	JUNCTION-7020	JUNCTION-11819	499.100000	6.000000	140	0.000000	Open	
LINK-87	JUNCTION-11818	JUNCTION-7020	300.900000	6.000000	140	0.000000	Open	
LINK-88	JUNCTION-11820	JUNCTION-11821	319.400000	4.000000	140	0.000000	Open	
LINK-89	JUNCTION-11821	JUNCTION-11820	12.100000	4.000000	140	0.000000	Open	
LINK-90	JUNCTION-11820	JUNCTION-7021	143.400000	4.000000	140	0.000000	Open	
LINK-91	JUNCTION-1701	JUNCTION-1644	250.500000	8.000000	140	0.000000	Open	
LINK-92	JUNCTION-7021	JUNCTION-11822	473.700000	8.000000	140	0.000000	Open	
LINK-93	JUNCTION-11822	JUNCTION-11819	529.700000	6.000000	140	0.000000	Open	
LINK-94	JUNCTION-11819	JUNCTION-11824	144.100000	4.000000	140	0.000000	Open	
LINK-95	JUNCTION-11825	JUNCTION-5697	158.300000	6.000000	140	0.000000	Open	
LINK-96	JUNCTION-11826	JUNCTION-11827	153.900000	4.000000	140	0.000000	Open	
LINK-97	JUNCTION-11826	JUNCTION-7109	232.800000	8.000000	140	0.000000	Open	
LINK-98	JUNCTION-5714	JUNCTION-11825	508.300000	6.000000	140	0.000000	Open	
LINK-99	JUNCTION-11826	JUNCTION-11813	369.200000	8.000000	140	0.000000	Open	
LINK-100	JUNCTION-11828	JUNCTION-11829	274.100000	2.000000	140	0.000000	Open	
LINK-101	JUNCTION-6693	JUNCTION-11811	485.100000	6.000000	140	0.000000	Open	
LINK-102	JUNCTION-1695	JUNCTION-1697	457.100000	6.000000	140	0.000000	Open	
LINK-103	JUNCTION-7088	JUNCTION-7086	560.300000	8.000000	140	0.000000	Open	
LINK-104	JUNCTION-6693	JUNCTION-7088	295.800000	8.000000	140	0.000000	Open	
LINK-105	JUNCTION-11830	JUNCTION-11814	164.000000	6.000000	140	0.000000	Open	
LINK-106	JUNCTION-11831	JUNCTION-11830	246.400000	6.000000	140	0.000000	Open	
LINK-107	JUNCTION-11832	JUNCTION-11816	226.300000	4.000000	140	0.000000	Open	
LINK-108	JUNCTION-11833	JUNCTION-11836	168.900000	4.000000	140	0.000000	Open	
LINK-109	JUNCTION-11836	JUNCTION-11833	124.000000	4.000000	140	0.000000	Open	
LINK-110	JUNCTION-6699	JUNCTION-11836	153.900000	4.000000	140	0.000000	Open	
LINK-111	JUNCTION-11832	JUNCTION-11831	270.600000	6.000000	140	0.000000	Open	
LINK-112	JUNCTION-6981	JUNCTION-11837	492.200000	8.000000	140	0.000000	Open	
LINK-113	JUNCTION-1437	JUNCTION-1730	460.600000	12.000000	140	0.000000	Open	
LINK-114	JUNCTION-1706	JUNCTION-1708	474.900000	6.000000	140	0.000000	Open	
LINK-115	JUNCTION-11837	JUNCTION-11838	364.000000	8.000000	140	0.000000	Open	
LINK-116	JUNCTION-11838	JUNCTION-6695	329.200000	8.000000	140	0.000000	Open	
LINK-117	JUNCTION-11838	JUNCTION-11839	169.500000	4.000000	140	0.000000	Open	
LINK-118	JUNCTION-11839	JUNCTION-11840	152.200000	4.000000	140	0.000000	Open	
LINK-119	JUNCTION-11831	JUNCTION-11837	299.700000	8.000000	140	0.000000	Open	
LINK-120	JUNCTION-6715	JUNCTION-6798	762.200000	18.000000	140	0.000000	Open	
LINK-121	JUNCTION-6457	JUNCTION-6852	199.400000	8.000000	140	0.000000	Open	
LINK-122	JUNCTION-6834	JUNCTION-6457	26.600000	12.000000	140	0.000000	Open	
LINK-123	JUNCTION-11810	JUNCTION-5720	470.000000	8.000000	140	0.000000	Open	
LINK-124	JUNCTION-6725	JUNCTION-5898	779.900000	18.000000	140	0.000000	Open	
LINK-125	JUNCTION-1708	JUNCTION-1706	764.400000	6.000000	140	0.000000	Open	
LINK-126	JUNCTION-11841	JUNCTION-11842	304.200000	4.000000	140	0.000000	Open	
LINK-127	JUNCTION-11843	JUNCTION-11824	324.700000	4.000000	140	0.000000	Open	
LINK-128	JUNCTION-11824	JUNCTION-11843	15.200000	4.000000	140	0.000000	Open	
LINK-129	JUNCTION-11822	JUNCTION-11844	111.600000	8.000000	140	0.000000	Open	
LINK-130	JUNCTION-11842	JUNCTION-11841	14.600000	4.000000	140	0.000000	Open	
LINK-131	JUNCTION-11845	JUNCTION-6619	421.400000	12.000000	140	0.000000	Open	
LINK-132	JUNCTION-6636	JUNCTION-11845	207.300000	12.000000	140	0.000000	Open	
LINK-133	JUNCTION-11844	JUNCTION-11841	36.400000	4.000000	140	0.000000	Open	
LINK-134	JUNCTION-6649	JUNCTION-11844	247.000000	8.000000	140	0.000000	Open	
LINK-135	JUNCTION-11847	JUNCTION-11848	190.700000	4.000000	140	0.000000	Open	
LINK-136	JUNCTION-1708	JUNCTION-8471	247.500000	6.000000	140	0.000000	Open	
LINK-137	JUNCTION-11847	JUNCTION-11849	183.600000	4.000000	140	0.000000	Open	
LINK-138	JUNCTION-11850	JUNCTION-11849	186.100000	6.000000	140	0.000000	Open	
LINK-139	JUNCTION-11851	JUNCTION-11850	228.400000	6.000000	140	0.000000	Open	
LINK-140	JUNCTION-11851	JUNCTION-6122	295.600000	6.000000	140	0.000000	Open	
LINK-141	JUNCTION-6118	JUNCTION-11851	339.100000	6.000000	140	0.000000	Open	
LINK-142	JUNCTION-11852	JUNCTION-11850	114.300000	6.000000	140	0.000000	Open	
LINK-143	JUNCTION-11852	JUNCTION-11853	148.900000	4.000000	140	0.000000	Open	
LINK-144	JUNCTION-11252	JUNCTION-1655	288.600000	8.000000	140	0.000000	Open	
LINK-145	JUNCTION-11854	JUNCTION-11855	176.300000	6.000000	140	0.000000	Open	
LINK-146	JUNCTION-7332	JUNCTION-11856	159.700000	1.000000	140	0.000000	Open	
LINK-147	JUNCTION-1709	JUNCTION-1710	21.300000	6.000000	140	0.000000	Open	
LINK-148	JUNCTION-11858	JUNCTION-11854	191.400000	6.000000	140	0.000000	Open	
LINK-149	JUNCTION-11858	JUNCTION-11859	167.800000	4.000000	140	0.000000	Open	
LINK-150	JUNCTION-7262	JUNCTION-7332	55.300000	8.000000	140	0.000000	Open	
LINK-151	JUNCTION-1607	JUNCTION-11854	73.900000	6.000000	140	0.000000	Open	
LINK-152	JUNCTION-580	JUNCTION-358	557.500000	6.000000	140	0.000000	Open	
LINK-153	JUNCTION-535	JUNCTION-9321	281.700000	6.000000	140	0.000000	Open	
LINK-154	JUNCTION-3889	JUNCTION-3887	224.900000	6.000000	140	0.000000	Open	
LINK-155	JUNCTION-11860	JUNCTION-3889	496.000000	6.000000	140	0.000000	Open	
LINK-156	JUNCTION-3887	JUNCTION-580	29.400000	6.000000	140	0.000000	Open	
LINK-157	JUNCTION-11861	JUNCTION-11862	530.000000	4.000000	140	0.000000	Open	
LINK-158	JUNCTION-1711	JUNCTION-1712	321.000000	4.000000	140	0.000000	Open	
LINK-159	JUNCTION-11861	JUNCTION-11863	345.100000	6.000000	140	0.000000	Open	
LINK-160	JUNCTION-9354	JUNCTION-11864	752.100000	4.000000	140	0.000000	Open	
LINK-161	JUNCTION-11865	JUNCTION-613	123.100000	8.000000	140	0.000000	Open	
LINK-162	JUNCTION-8933	JUNCTION-11865	24.900000	8.000000	140	0.000000	Open	
LINK-163	JUNCTION-11866	JUNCTION-11861	197.000000	6.000000	140	0.000000	Open	
LINK-164	JUNCTION-11866	JUNCTION-9343	243.900000	6.000000	140	0.000000	Open	
LINK-165	JUNCTION-11867	JUNCTION-11866	367.900000	6.000000	140	0.000000	Open	
LINK-166	JUNCTION-9343	JUNCTION-11869	58.000000	6.000000	140	0.000000	Open	
LINK-167	JUNCTION-11867	JUNCTION-11870	276.300000	6.000000	140	0.000000	Open	
LINK-168	JUNCTION-11864	JUNCTION-4691	246.300000	6.000000	140	0.000000	Open	
LINK-169	JUNCTION-1712	JUNCTION-1709	318.400000	6.000000	140	0.000000	Open	
LINK-170	JUNCTION-546	JUNCTION-3875	738.300000	2.000000	140	0.000000	Open	
LINK-171	JUNCTION-4691	JUNCTION-569	281.700000	6.000000	140	0.000000	Open	
LINK-172	JUNCTION-11871	JUNCTION-11869	275.200000	6.000000	140	0.000000	Open	
LINK-173	JUNCTION-11869	JUNCTION-569	442.400000	6.000000	140	0.000000	Open	
LINK-174	JUNCTION-11872	JUNCTION-11867	1087.600000	6.000000	140	0.000000	Open	
LINK-175	JUNCTION-11872	JUNCTION-11873	205.100000	6.000000	140	0.000000	Open	
LINK-176	JUNCTION-11871	JUNCTION-11874	480.500000	6.000000	140	0.000000	Open	
LINK-177	JUNCTION-11874	JUNCTION-558	288.300000	6.000000	140	0.000000	Open	
LINK-178	JUNCTION-3881	JUNCTION-6842	250.600000	6.000000	140	0.000000	Open	
LINK-179	JUNCTION-11875	JUNCTION-11876	227.300000	6.000000	140	0.000000	Open	
LINK-180	JUNCTION-1713	JUNCTION-1714	290.400000	6.000000	140	0.000000	Open	
LINK-181	JUNCTION-11876	JUNCTION-524	122.000000	6.000000	140	0.000000	Open	
LINK-182	JUNCTION-591	JUNCTION-6842	261.000000	6.000000	140	0.000000	Open	
LINK-183	JUNCTION-591	JUNCTION-11876	541.500000	6.000000	140	0.000000	Open	
LINK-184	JUNCTION-11877	JUNCTION-11878	329.300000	6.000000	140	0.000000	Open	
LINK-185	JUNCTION-11880	JUNCTION-11877	221.400000	6.000000	140	0.000000	Open	
LINK-186	JUNCTION-11881	JUNCTION-11880	29.800000	6.000000	140	0.000000	Open	
LINK-187	JUNCTION-11881	JUNCTION-11882	158.100000	6.000000	140	0.000000	Open	
LINK-188	JUNCTION-9077	JUNCTION-11881	727.000000	6.000000	140	0.000000	Open	
LINK-189	JUNCTION-11877	JUNCTION-9088	465.000000	6.000000	140	0.000000	Open	
LINK-190	JUNCTION-11883	JUNCTION-9077	183.500000	4.000000	140	0.000000	Open	
LINK-191	JUNCTION-1301	JUNCTION-1713	403.900000	6.000000	140	0.000000	Open	
LINK-192	JUNCTION-480	JUNCTION-9088	254.600000	4.000000	140	0.000000	Open	
LINK-193	JUNCTION-480	JUNCTION-11883	1010.800000	4.000000	140	0.000000	Open	
LINK-194	JUNCTION-10186	JUNCTION-11406	996.000000	12.000000	140	0.000000	Open	
LINK-195	JUNCTION-11884	JUNCTION-3886	158.100000	6.000000	140	0.000000	Open	
LINK-196	JUNCTION-3886	JUNCTION-469	138.300000	6.000000	140	0.000000	Open	
LINK-197	JUNCTION-469	JUNCTION-11860	101.900000	6.000000	140	0.000000	Open	
LINK-198	JUNCTION-11860	JUNCTION-9321	560.300000	6.000000	140	0.000000	Open	
LINK-199	JUNCTION-369	JUNCTION-6844	156.100000	8.000000	140	0.000000	Open	
LINK-200	JUNCTION-369	JUNCTION-3895	659.300000	8.000000	140	0.000000	Open	
LINK-201	JUNCTION-11885	JUNCTION-11886	856.800000	6.000000	140	0.000000	Open	
LINK-202	JUNCTION-1715	JUNCTION-1716	341.400000	6.000000	140	0.000000	Open	
LINK-203	JUNCTION-11886	JUNCTION-3908	190.300000	8.000000	140	0.000000	Open	
LINK-204	JUNCTION-11887	JUNCTION-11888	314.100000	8.000000	140	0.000000	Open	
LINK-205	JUNCTION-11887	JUNCTION-11886	544.700000	8.000000	140	0.000000	Open	
LINK-206	JUNCTION-11885	JUNCTION-3907	612.400000	8.000000	140	0.000000	Open	
LINK-207	JUNCTION-11885	JUNCTION-11889	356.300000	8.000000	140	0.000000	Open	
LINK-208	JUNCTION-11889	JUNCTION-11888	181.200000	8.000000	140	0.000000	Open	
LINK-209	JUNCTION-11891	JUNCTION-11892	435.000000	8.000000	140	0.000000	Open	
LINK-210	JUNCTION-11893	JUNCTION-11891	557.400000	8.000000	140	0.000000	Open	
LINK-211	JUNCTION-11893	JUNCTION-11894	64.800000	8.000000	140	0.000000	Open	
LINK-212	JUNCTION-11894	JUNCTION-11895	397.800000	8.000000	140	0.000000	Open	
LINK-213	JUNCTION-1301	JUNCTION-1717	692.000000	4.000000	140	0.000000	Open	
LINK-214	JUNCTION-11011	JUNCTION-11896	460.500000	4.000000	140	0.000000	Open	
LINK-215	JUNCTION-11011	JUNCTION-967	398.600000	6.000000	140	0.000000	Open	
LINK-216	JUNCTION-6607	JUNCTION-11016	524.100000	2.000000	140	0.000000	Open	
LINK-217	JUNCTION-447	JUNCTION-11897	237.200000	6.000000	140	0.000000	Open	
LINK-218	JUNCTION-11897	JUNCTION-10992	292.200000	8.000000	140	0.000000	Open	
LINK-219	JUNCTION-11887	JUNCTION-11894	279.000000	8.000000	140	0.000000	Open	
LINK-220	JUNCTION-11898	JUNCTION-11893	150.700000	6.000000	140	0.000000	Open	
LINK-221	JUNCTION-11897	JUNCTION-11898	366.400000	6.000000	140	0.000000	Open	
LINK-222	JUNCTION-11899	JUNCTION-11900	1102.900000	8.000000	140	0.000000	Open	
LINK-223	JUNCTION-458	JUNCTION-11900	84.400000	6.000000	140	0.000000	Open	
LINK-224	JUNCTION-1803	JUNCTION-1334	263.100000	8.000000	140	0.000000	Open	
LINK-225	JUNCTION-1719	JUNCTION-1720	403.800000	4.000000	140	0.000000	Open	
LINK-226	JUNCTION-6844	JUNCTION-11899	159.500000	8.000000	140	0.000000	Open	
LINK-227	JUNCTION-11203	JUNCTION-11208	285.000000	6.000000	140	0.000000	Open	
LINK-228	JUNCTION-11208	JUNCTION-11902	179.800000	6.000000	140	0.000000	Open	
LINK-229	JUNCTION-4080	JUNCTION-11903	279.500000	6.000000	140	0.000000	Open	
LINK-230	JUNCTION-347	JUNCTION-1045	353.500000	6.000000	140	0.000000	Open	
LINK-231	JUNCTION-1045	JUNCTION-11002	719.300000	8.000000	140	0.000000	Open	
LINK-232	JUNCTION-12478	JUNCTION-12445	357.700000	4.000000	140	0.000000	Open	
LINK-233	JUNCTION-11904	JUNCTION-2246	282.900000	12.000000	140	0.000000	Open	
LINK-234	JUNCTION-11905	JUNCTION-11904	374.000000	12.000000	140	0.000000	Open	
LINK-235	JUNCTION-11428	JUNCTION-11905	53.100000	12.000000	140	0.000000	Open	
LINK-236	JUNCTION-1721	JUNCTION-1720	380.700000	4.000000	140	0.000000	Open	
LINK-237	JUNCTION-11906	JUNCTION-11428	692.900000	12.000000	140	0.000000	Open	
LINK-238	JUNCTION-11907	JUNCTION-11906	244.300000	6.000000	140	0.000000	Open	
LINK-239	JUNCTION-11908	JUNCTION-11906	819.900000	12.000000	140	0.000000	Open	
LINK-240	JUNCTION-11909	JUNCTION-11248	297.000000	2.000000	140	0.000000	Open	
LINK-241	JUNCTION-11910	JUNCTION-12134	110.400000	6.000000	140	0.000000	Open	
LINK-242	JUNCTION-11911	JUNCTION-3915	335.400000	4.000000	140	0.000000	Open	
LINK-243	JUNCTION-11913	JUNCTION-3918	193.500000	6.000000	140	0.000000	Open	
LINK-244	JUNCTION-11913	JUNCTION-11914	64.600000	6.000000	140	0.000000	Open	
LINK-245	JUNCTION-11915	JUNCTION-11913	402.000000	4.000000	140	0.000000	Open	
LINK-246	JUNCTION-11916	JUNCTION-11917	38.800000	8.000000	140	0.000000	Open	
LINK-247	JUNCTION-1719	JUNCTION-1714	205.000000	4.000000	140	0.000000	Open	
LINK-248	JUNCTION-11917	JUNCTION-11918	49.600000	8.000000	140	0.000000	Open	
LINK-249	JUNCTION-11919	JUNCTION-11920	206.600000	6.000000	140	0.000000	Open	
LINK-250	JUNCTION-11921	JUNCTION-3882	271.800000	4.000000	140	0.000000	Open	
LINK-251	JUNCTION-3880	JUNCTION-11921	242.100000	4.000000	140	0.000000	Open	
LINK-252	JUNCTION-11914	JUNCTION-3882	252.300000	4.000000	140	0.000000	Open	
LINK-253	JUNCTION-11921	JUNCTION-3881	786.400000	4.000000	140	0.000000	Open	
LINK-254	JUNCTION-11922	JUNCTION-11924	511.600000	4.000000	140	0.000000	Open	
LINK-255	JUNCTION-11922	JUNCTION-11429	327.100000	4.000000	140	0.000000	Open	
LINK-256	JUNCTION-3910	JUNCTION-11922	28.800000	4.000000	140	0.000000	Open	
LINK-257	JUNCTION-11918	JUNCTION-3910	689.300000	4.000000	140	0.000000	Open	
LINK-258	JUNCTION-1722	JUNCTION-1719	421.500000	3.000000	140	0.000000	Open	
LINK-259	JUNCTION-11925	JUNCTION-11429	296.500000	2.000000	140	0.000000	Open	
LINK-260	JUNCTION-11429	JUNCTION-11926	484.100000	2.000000	140	0.000000	Open	
LINK-261	JUNCTION-11916	JUNCTION-11890	326.100000	8.000000	140	0.000000	Open	
LINK-262	JUNCTION-11927	JUNCTION-11916	506.400000	8.000000	140	0.000000	Open	
LINK-263	JUNCTION-11927	JUNCTION-11928	625.400000	2.000000	140	0.000000	Open	
LINK-264	JUNCTION-11023	JUNCTION-11929	1012.200000	4.000000	140	0.000000	Open	
LINK-265	JUNCTION-11930	JUNCTION-11931	373.300000	8.000000	140	0.000000	Open	
LINK-266	JUNCTION-11024	JUNCTION-11025	392.600000	12.000000	140	0.000000	Open	
LINK-267	JUNCTION-11931	JUNCTION-11025	504.700000	8.000000	140	0.000000	Open	
LINK-268	JUNCTION-11932	JUNCTION-11929	113.800000	8.000000	140	0.000000	Open	
LINK-269	JUNCTION-1714	JUNCTION-1721	267.700000	6.000000	140	0.000000	Open	
LINK-270	JUNCTION-11931	JUNCTION-11929	155.900000	8.000000	140	0.000000	Open	
LINK-271	JUNCTION-11932	JUNCTION-11933	291.800000	8.000000	140	0.000000	Open	
LINK-272	JUNCTION-11935	JUNCTION-11932	397.700000	4.000000	140	0.000000	Open	
LINK-273	JUNCTION-11935	JUNCTION-11936	195.300000	12.000000	140	0.000000	Open	
LINK-274	JUNCTION-11908	JUNCTION-11936	8.900000	8.000000	140	0.000000	Open	
LINK-275	JUNCTION-11918	JUNCTION-11933	1396.900000	8.000000	140	0.000000	Open	
LINK-276	JUNCTION-11933	JUNCTION-11908	476.700000	8.000000	140	0.000000	Open	
LINK-277	JUNCTION-11246	JUNCTION-11936	710.000000	8.000000	140	0.000000	Open	
LINK-278	JUNCTION-11892	JUNCTION-11937	158.100000	8.000000	140	0.000000	Open	
LINK-279	JUNCTION-11938	JUNCTION-11024	117.000000	12.000000	140	0.000000	Open	
LINK-280	JUNCTION-1720	JUNCTION-1723	327.400000	4.000000	140	0.000000	Open	
LINK-281	JUNCTION-11939	JUNCTION-11940	215.200000	2.000000	140	0.000000	Open	
LINK-282	JUNCTION-11940	JUNCTION-11020	220.300000	6.000000	140	0.000000	Open	
LINK-283	JUNCTION-11937	JUNCTION-11938	13.900000	12.000000	140	0.000000	Open	
LINK-284	JUNCTION-11937	JUNCTION-11930	333.300000	12.000000	140	0.000000	Open	
LINK-285	JUNCTION-11248	JUNCTION-11940	430.600000	6.000000	140	0.000000	Open	
LINK-286	JUNCTION-11930	JUNCTION-11935	273.700000	12.000000	140	0.000000	Open	
LINK-287	JUNCTION-11425	JUNCTION-11251	1175.800000	4.000000	140	0.000000	Open	
LINK-288	JUNCTION-11941	JUNCTION-11942	233.500000	4.000000	140	0.000000	Open	
LINK-289	JUNCTION-11943	JUNCTION-11941	409.300000	4.000000	140	0.000000	Open	
LINK-290	JUNCTION-11944	JUNCTION-11245	939.100000	4.000000	140	0.000000	Open	
LINK-291	JUNCTION-1724	JUNCTION-1725	500.700000	4.000000	140	0.000000	Open	
LINK-292	JUNCTION-11947	JUNCTION-11948	341.200000	4.000000	140	0.000000	Open	
LINK-293	JUNCTION-11942	JUNCTION-11246	270.100000	4.000000	140	0.000000	Open	
LINK-294	JUNCTION-11941	JUNCTION-11949	609.000000	2.000000	140	0.000000	Open	
LINK-295	JUNCTION-11907	JUNCTION-11424	1059.400000	4.000000	140	0.000000	Open	
